0:0:0:0:0:0:0:1 - - [25/Feb/2021:13:45:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Feb/2021:13:46:05 +0900] "GET /javascript/Quiz/Quiz04.html HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [25/Feb/2021:13:46:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Feb/2021:13:46:38 +0900] "GET /javascript/Quiz/Quiz04.html HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [25/Feb/2021:13:47:00 +0900] "GET /javascript/Quiz/Quiz04.html HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [25/Feb/2021:14:01:43 +0900] "GET /javascript/Quiz/Quiz04.html HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [25/Feb/2021:14:01:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Feb/2021:14:02:04 +0900] "GET /javascript/Quiz/Quiz04.html HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [25/Feb/2021:14:02:07 +0900] "GET /javascript/Quiz/Quiz04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:14:02:07 +0900] "GET /javascript/Quiz/Quiz04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:14:08:41 +0900] "GET /javascript/basic/Exam19.html HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [25/Feb/2021:14:08:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Feb/2021:14:10:19 +0900] "GET /javascript/basic/Exam20.html HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [25/Feb/2021:14:17:44 +0900] "GET /javascript/basic/Exam21.html HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [25/Feb/2021:14:18:05 +0900] "GET /javascript/basic/Exam21.html HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [25/Feb/2021:14:48:38 +0900] "GET /javascript/basic/Exam22.html HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [25/Feb/2021:14:49:02 +0900] "GET /javascript/basic/Exam22.html HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [25/Feb/2021:14:49:16 +0900] "GET /javascript/basic/Exam22.html HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [25/Feb/2021:14:49:39 +0900] "GET /javascript/basic/Exam22.html HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [25/Feb/2021:14:50:03 +0900] "GET /javascript/basic/Exam22.html HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:01:11 +0900] "GET /javascript/basic/exam23.html HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:01:19 +0900] "GET /javascript/basic/exam23.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:01:22 +0900] "GET /javascript/basic/exam23.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:01:22 +0900] "GET /javascript/basic/exam23.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:01:23 +0900] "GET /javascript/basic/exam23.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:01:23 +0900] "GET /javascript/basic/exam23.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:01:23 +0900] "GET /javascript/basic/exam23.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:01:23 +0900] "GET /javascript/basic/exam23.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:01:32 +0900] "GET /javascript/basic/exam23.html HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:02:54 +0900] "GET /javascript/basic/exam23.html HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:13:26 +0900] "GET /javascript/basic/exam24.html HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:24:47 +0900] "GET /javascript/basic/exam25.html HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:25:19 +0900] "GET /javascript/basic/exam25.html HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:25:39 +0900] "GET /javascript/basic/exam25.html HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:25:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:26:17 +0900] "GET /javascript/basic/exam25.html HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:26:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:26:58 +0900] "GET /javascript/basic/exam25.html HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:28:07 +0900] "GET /javascript/basic/exam25.html HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:28:50 +0900] "GET /javascript/basic/exam25.html HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:29:29 +0900] "GET /javascript/basic/exam25.html HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:29:50 +0900] "GET /javascript/basic/exam25.html HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:30:43 +0900] "GET /javascript/basic/exam25.html HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:45:10 +0900] "GET /javascript/basic/exam26.html HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:45:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:45:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:54:12 +0900] "GET /javascript/basic/exam27.html HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [25/Feb/2021:15:54:29 +0900] "GET /javascript/basic/exam27.html HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:00:30 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:04:28 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:04:31 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:04:38 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:08:57 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 200 1041
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:09:19 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:14:21 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:14:37 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:14:57 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:19:07 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:19:51 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:20:04 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:20:38 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:22:55 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:23:31 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:29:15 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [25/Feb/2021:16:30:34 +0900] "GET /javascript/Quiz/Quiz05.html HTTP/1.1" 200 1692
